,input,target
15034,what did you say ?,nothing .
15035,nothing .,put him through .
15036,i ll go pay for my car .,are you sure ?
15037,are you sure ?,yeah .
15038,you ready ?,are you coming to eat with us ?
15039,ok . what should i do about eric ?,just tell him to call me .
15040,just tell him to call me .,ok .
15041,ok .,so . . .did my brother call you ?
15042,so . . .did my brother call you ?,no .
15043,he s a writer not a madman .,then what s he doing here ?
15044,at your service count .,now give the signal .
15045,madeleine,yes abbe ?
15046,don t turn us out abbe .,turn you out ?
15047,by whom ? the marquis ?,mother s not half so blind as you .
15048,go back to your room . quickly .,what ? what ve i done ?
15049,what ? what ve i done ?,don t come back not tonight not again
15050,don t come back not tonight not again,you ll hate me now won t you ?
15051,free his mouth .,mustn t do that sir .
15052,he can t do that to me .,how can one man possibly be so selfish ?
15053,part the gates of heaven as it were,that s enough .
15054,good day marquis .,then bugger me !
15055,you expect me to pimp madeleine ?,i wasn t talking about madeleine .
15056,off with your clothes !,coulmier you animal !
15057,that was lust,the passion in your heart
15058,don t confuse one organ with another,i know because i felt it myself
15059,i know because i felt it myself,i wanted to fuck her that s all !
15060,i wanted to fuck her that s all !,and did you ?
15061,never !,then it must ve been love
15062,abbe de coulmier !,i m here .
15063,i m here .,surely you ll grant me a final word .
15064,surely you ll grant me a final word .,of course .
15065,oh . that .,well . . . ?
15066,and ?,he s sworn to obedience .
15067,it was fiction of course .,of course .
15068,of course .,it was not inspired by circumstance .
15069,it was not inspired by circumstance .,no . it most certainly was not .
15070,i ll be waiting .,maybe someday you ll tell me your name .
15071,it s not your cup of tea mama .,come now darling give it a read .
15072,yes ?,well worth the dig !
15073,i m hungry for a proper visit .,don t start
15074,i am eternally in your debt .,and i in yours .
15075,leave at once,but it s just begun
15076,but it s just begun,do as i say .
15077,doesn t that please you ?,very much .
15078,no when i was but a tender lad,last week would this be ?
15079,so you ever gonna do a picture ?,not you too
15080,i wonder sometimes .,you re just scared .
15081,you re just scared .,am i ?
15082,i can t,sure you can just
15083,sure you can just,he needs me here .
15084,i did my best but well you know me,sure
15085,marion everyone knows you re not like that,but i am that s the killer honey .
15086,who are you sir ?,my name is orson welles
15087,my name is orson welles,the actor
15088,the actor,and director .
15089,you know that can t happen .,oh why is that ?
15090,oh why is that ?,why is that louis ?
15091,how bad is it ?,nothing for you to worry about darling
15092,nothing for you to worry about darling,pops
15093,how much ?,it s not really
15094,it s not really,how much ?
15095,we re million dollars in debt ?,yes .
15096,this picture,i am not that woman .
15097,then you explain it to me ? !,there s nothing to explain
15098,you gotta wake up now . pops .,there is nothing to discuss
15099,i wanted it,there s a different between want and
15100,there s a different between want and,not for me .
15101,you will not walk out on me,you are repellant when you drink .
15102,fuck you mr . kane .,i will not have this in my home .
15103,i will not have this in my home .,i just want to understand
15104,yes ?,the drinking .
15105,thank you for your time,thank you sir . she begins to leave
15106,sir ?,why did we not know about this sooner ?
15107,why did we not know about this sooner ?,sir ?
15108,sir i,please be quiet .
15109,we re using,you re not doin hearst are you ?
15110,you drink at am do you ?,no no i mean
15111,no no i mean,i wanna see the picture today
15112,he personally asked you to ?,that s right
15113,hearst ?,uh huh
15114,can i talk to hearst ?,you are talking to him .
15115,what are movies about orson ?,forget it
15116,forget it,what are movies about ?
15117,what are movies about ?,telling stories .
15118,telling stories .,nope .
15119,nope .,showing life
15120,like a bug .,but with compassion and insight
15121,manolete ? !,who the hell s manolete ?
15122,yes .,please don t say this .
15123,fuck you,i expected more from you .
15124,let me out .,listen to me
15125,listen to me,fuck you
15126,why her ?,she was . . . innocent
15127,uh huh .,i just can t . . see it anymore
15128,i m sorry .,i don t care .
15129,did i ever tell you about my father ?,i don t give a shit about
15130,shit,george . . .
15131,to do what ?,that s for me to decide .
15132,that s for me to decide .,you re going to destroy it
15133,you talked to new york ?,yes
15134,yes,get out
15135,rosebud ? i ll tell you about rosebud .,again .
15136,rosebud ? i ll tell you about rosebud .,again .
15137,rosebud ? i ll tell you about rosebud .,again
15138,rosebud ? i ll tell you about rosebud .,again
15139,rosebud ? i ll tell you about rosebud,again
15140,citizen kane,pardon ?
15141,pardon ?,citizen kane there s your title .
15142,for the title,ah it s a grand title .
15143,you re not still mad at me i hope,no we re jake . but listen
15144,i think you better sit down,i don t want to sit
15145,it was fun wasn t it ?,it was the best kid
15146,it was the best kid,so on to the life of christ !
15147,how bout a real drink ?,we done ?
15148,we done ?,yeah .
15149,oh no,yes !
15150,yes !,he s christ ?
15151,he s christ ?,i m christ
15152,i m christ,you want to do the life of jesus ?
15153,let s go jake wake up !,huh ? whadda ya mean get up ?
15154,huh ? whadda ya mean get up ?,we re from . . .
15155,they wanna talk to you .,about what ?
15156,hey champ !,tommy thanks for coming over .
15157,yeah i understand tommy .,all right you guys shake hands .
15158,this looks done .,it s not done .
15159,and where you goin ?,none of your fuckin business .
15160,yeah i really cleaned up on him .,where s your wife jake ?
15161,what s wrong ?,nothing . . .
15162,you know ?,yeah . do me a favor .
15163,yeah . do me a favor .,sure . what is it ?
15164,sure . what is it ?,hit me in the face .
15165,hit me in the face .,you want me to do what ?
15166,you want me to do what ?,you heard me i said hit me .
15167,harder . take the towel off .,jack ! enough !
15168,jack ! enough !,go ahead .
15169,who s that ?,whadda you care ?
15170,you wasn t with her were you ?,huh ?
15171,huh ?,you wasn t with her ?
15172,you wasn t with her ?,with her ? how ?
15173,with her ? how ?,you know like bang her or anything ?
15174,do you see her yet ?,give me a chance . let me look .
15175,you want the title shot ?,say what you re gonna say .
15176,say what you re gonna say .,you want the title shot or not ?
15177,sure i ll keep an eye on her .,what did tommy say ?
15178,stick out your hands jake .,c mon joey .
15179,except fall down like a normal person .,yeah except fall down . that s right .
15180,screw you jack .,where you been ?
15181,what do you mean you ?,what ?
15182,what ?,what do you mean you ?
15183,but you said you .,so what ?
15184,did you ever fuck my wife ?,what ?
15185,whadda ya mean ?,did you ever fuck my wife ?
15186,what time is it ?,nine o clock .
15187,nine o clock .,at night ?
15188,at night ?,yeah . at night .
15189,yeah . at night .,how many pounds i gotta lose ?
15190,how many pounds i gotta lose ?,three more i figure .
15191,it feels real good .,just keep your eye on the ball .
15192,just keep your eye on the ball .,should i hit it ?
15193,should i hit it ?,just give it a nice little tap .
15194,i can t find my ball .,can you see it ?
15195,can you see it ?,no .
15196,no .,what does that mean ?
15197,jake . . .,it s ok .
15198,are you sure we should be doing this ?,come over here .
15199,take off my pants .,jake . . .
15200,jake . . .,do what i say .
15201,i like the gym smell .,now take your panties off .
15202,who asked you ?,but jake i was just . . .
15203,but jake i was just . . .,who asked you ?
15204,who asked you ?,i was just . . .
15205,i was just . . .,who asked you ?
15206,i m not interested in him .,you re not interested in him ?
15207,you re not interested in him ?,no i m not .
15208,vickie ? . . . vickie you asleep ?,what ?
15209,what ?,you asleep ?
15210,you asleep ?,yeah .
15211,yeah .,huh ?
15212,huh ?,yeah what ?
15213,what did i say ?,that he s got a pretty face .
15214,that he s got a pretty face .,i never noticed his face .
15215,i went out .,what s that kissing on the mouth shit ?
15216,where you been all day ?,i took the kids to my sister s .
15217,i took the kids to my sister s .,i called . you weren t there .
15218,what d you see ?,i went to the movies .
15219,i went to the movies .,what d you see ?
15220,what d you see ?,father of the bride .
15221,father of the bride .,what was it about ?
15222,nobody i tell you . jake stop it .,you re a fuckin liar .
15223,you did ?,yeah i sucked his cock .
15224,jake,what ?
15225,ok . talk .,why don t you just call him up ?
15226,no not that .,then what ?
15227,then what ?,i don t know .
15228,why don t you just call him ?,i dunno .
15229,i m leaving you jake .,sure what else is new ?
15230,are you drunk ?,no . open the door .
15231,hi tommy . how are you ?,jake sit down for a minute .
15232,how s the weight ? ok ?,yeah the weight s ok .
15233,tomorrow at the gym . don t forget .,right the gym .
15234,this is the baby sitter .,oh . when are they expected home ?
15235,does he have your number mr . jefferies ?,he has it . thank you .
15236,he has it . thank you .,goodnight .
15237,jefferies ?,name me a better photographer .
15238,name me a better photographer .,but his leg !
15239,but his leg !,don t worry it comes off today .
15240,for instance ?,his wife took a trip .
15241,i think they missed their chance with her .,she never left the apartment
15242,she never left the apartment,then where is she in the ice box ?
15243,then where is she in the ice box ?,until yesterday morning .
15244,until yesterday morning .,what time ?
15245,feel a little foolish ?,not yet .
15246,who said they left then ?,who left where ?
15247,did you ever own a saw ?,well in the garage back home we
15248,but i m not a killer !,your logic is backward .
15249,jefferies .,this is doyle jeff .
15250,listen to me ! lisa s been arrested .,your lisa ?
15251,jefferies .,congratulations jeff .
15252,congratulations jeff .,for what ?
15253,for what ?,for getting rid of that cast .
15254,for getting rid of that cast .,who said i was getting rid of it ?
15255,yeah . is that you jeff ?,it s me .
15256,it s me .,something wrong ?
15257,hello .,did you get my note ?
15258,can you get me that ring back ?,no .
15259,no .,tell her to bring it back !
15260,readers digest april .,well i only quote from the best .
15261,i knew it !,don t you ever heat that stuff up .
15262,that s normal .,i don t want to .
15263,no .,her father loading up the shotgun ?
15264,her father loading up the shotgun ?,stella !
15265,she s just not the girl for me .,she s only perfect .
15266,well the salesman could be available soon .,he and his wife splitting up ?
15267,a federal offense .,get back there ! he ll see you !
15268,police ?,huh ?
15269,huh ?,you called the police ?
15270,thank heaven that s over !,i have a feeling we ve just begun .
15271,i wonder .,what ?
15272,what are you two talking about ?,got a shovel ?
15273,got a shovel ?,no .
15274,no .,there s probably one in the basement .
15275,there s probably one in the basement .,now wait a minute
15276,smart girl .,smart ? she ll be arrested !
15277,what do you need money for ?,to bail lisa out of jail .
15278,one hundred and twenty seven .,how much do you think you ll need ?
15279,hello .,mrs . doyle ?
15280,mrs . doyle ?,yes .
15281,yes .,jeff again . has tom come in yet ?
15282,jeff again . has tom come in yet ?,not yet jeff .
15283,not yet jeff .,you haven t even heard from him ?
15284,you haven t even heard from him ?,not a word .
15285,goodnight you idiot .,goodnight mrs doyle .
15286,how s your leg ?,mmmm hurts a little .
15287,mmmm hurts a little .,and your stomach ?
15288,and your stomach ?,empty as a football .
15289,empty as a football .,and you love life ?
15290,and you love life ?,not too active .
15291,not too active .,anything else bothering you ?
15292,anything else bothering you ?,uh huh .
15293,what a day i ve had !,tired ?
15294,you can t buy that kind of publicity .,that s good news .
15295,i wish there was one i wanted .,make the one you want .
15296,make the one you want .,you mean leave the magazine ?
15297,you mean leave the magazine ?,yes .
15298,yes .,for what ?
15299,did you ever eat fish heads and rice ?,of course not .
15300,not quite it seems . goodbye jeff .,you mean goodnight .
15301,you mean goodnight .,i mean what i said .
15302,don t you ever have any problems ?,i have one now .
15303,i have one now .,so do i .
15304,so do i .,tell me about it .
15305,i wouldn t dare answer that .,lisa there s something terribly wrong .
15306,jeff if you could only see yourself .,now lisa
15307,you d better before you catch the disease !,what is it you re looking for ?
15308,lisa please !,there s nothing to see .
15309,what s the apartment house number ?,west ninth street .
15310,okay chief . what s my next assignment .,to get on home .
15311,to get on home .,all right but what s he doing now ?
15312,i wonder where he s going now ?,i don t know .
15313,i don t know .,suppose he doesn t come back again ?
15314,something on your mind lisa ?,it doesn t make sense to me .
15315,it doesn t make sense to me .,what doesn t ?
15316,i ll rephrase the question .,thank you .
15317,is he cleaning house ?,he s washing down the bathroom walls .
15318,wasn t that close ?,too close .
15319,your name ?,l . b . jefferies .
15320,l . b . jefferies .,phone number ?
15321,phone number ?,chelsea .
15322,chelsea .,two minutes .
15323,what s that ?,a new disease .
15324,a new disease .,friend of yours ?
15325,friend of yours ?,i m glad they let you out .
15326,i m glad they let you out .,nobody chickened .
15327,feel okay ?,give me some dirt .
15328,what s happening ?,good luck buzz .
15329,you know something ?,what ?
15330,what ?,you watch too much television .
15331,hey he s real abstract and different .,i m cute too .
15332,meaning me ?,what ?
15333,what ?,chicken ?
15334,just him .,stay there .
15335,what you say your name was ?,jim stark .
15336,hi .,glad to meet you .
15337,sure . it s fine .,okay .
15338,yeah .,i like you you know ?
15339,i like you you know ?,buzz ? what are we doing this for ?
15340,how d he get in ?,smashed the front door .
15341,smashed the front door .,any other entrance ?
15342,any other entrance ?,down in back .
15343,you see any cops ?,no
15344,what time is it ?,hang loose . we got all night .
15345,tell him why we moved here .,hold it jim .
15346,hold it jim .,you can t protect me .
15347,mother,you make any sandwiches ?
15348,you thought i was mom ?,yeah !
15349,and you dropped it ?,yeah ! shh !
15350,yeah ! shh !,that s funny !
15351,you awake ?,yes .
15352,is there some kind of trick answer ?,what would you do dad ?
15353,i don t think so,well
15354,except yourself !,will you wait a minute ?
15355,will you wait a minute ?,you don t want me to go .
15356,excuse us a minute ?,sure . sure .
15357,luck jim . don t forget .,have some cigars .
15358,have some cigars .,no thanks i don t smoke .
15359,no thanks i don t smoke .,go on give em to your friends .
15360,go on give em to your friends .,no thanks very much mr . stark .
15361,you sure ?,i think i know my son .
15362,he s just loaded honey .,i was talking to jim .
15363,he s home . i heard the car .,are you going down there ?
15364,are you going down there ?,look just relax will you ?
15365,see ? it stopped .,i still think you should go down .
15366,who s there ? anyone there ?,open it .
15367,is he there ?,no honey . no he s not here .
15368,frank !,stay here . that was my son !
15369,john crawford ?,yes sir .
15370,yes sir .,come with me john .
15371,where did you get the gun ?,in my mother s drawer .
15372,come back tomorrow .,i ll wait for him .
15373,hi .,hi there .
15374,hi there .,you remember me ?
15375,you remember me ?,no . i don t think so
15376,no . i don t think so,i m sorry i made a mistake .
15377,boy !,what ?
15378,you shouldn t monkey with him .,what ?
15379,what s your name !,jim . what s yours ?
15380,jim . what s yours ?,plato . it s a nickname .
15381,you scared ?,i just don t want trouble .
15382,i just don t want trouble .,he has a knife .
15383,i m here .,they re still there !
15384,are you really going to meet them ?,who knows . plato ?
15385,who knows . plato ?,what ?
15386,jim !,who s that !
15387,who s that !,it s me !
15388,they re looking for you !,yeah ?
15389,judy .,help me in !
15390,hey where d you go ?,i m here . shut up .
15391,i m here . shut up .,come out come out wherever you are !
15392,come out come out wherever you are !,shut up . are you nuts ?
15393,shut up . are you nuts ?,no . i m scared .
15394,what ?,there s only one key .
15395,there s only one key .,we ll take it !
15396,we ll take it !,come on !
15397,man you re schizoid !,i m what ? what ?
15398,isn t he schizoid ?,hey ! how bout that !
15399,haven t you noticed your personality splitting ?,not lately .
15400,i came here before .,when was that ?
15401,i don t want you for my father !,your father !
15402,you crazy nut ! you crazy crazy nut !,get away from me !
15403,plato ?,i m here .
15404,i ve got a gun .,i know . light a match will you ?
15405,that s swell . how are you ?,i m fine .
15406,no . at dawn .,why ?
15407,can i keep it ?,what do you think ?
15408,my gun ?,in your pocket . give it to me .
15409,in your pocket . give it to me .,i need it .
15410,why ?,they like you . okay ?
15411,they like you . okay ?,come on !
15412,who s that ?,just a guard .
15413,just a guard .,i shot at one of them .
15414,i shot at one of them .,but you didn t hurt anybody .
15415,i m sorry .,all right darling .
15416,bye mom .,goodbye dear .
15417,do you enjoy doing this to me or what,mom i m not
15418,mom i m not,and you wanted him to make a list !
15419,good lord !,i can t keep it to myself anymore
15420,what s that got to do with it ?,why should you be the only one .
15421,get lost .,hang loose boy . i m warning you .
15422,hang loose boy . i m warning you .,wash up and go home .
15423,leave me alone .,no .
15424,no .,i don t know why !
15425,he called me chicken .,and your folks didn t understand ?
15426,and your folks didn t understand ?,they never do .
15427,they never do .,so then you moved ?
15428,things pretty tough for you at home ?,she eats him alive and he takes it .
15429,what a zoo !,what ?
15430,pretty mixed up ?,if he could
15431,hi . i saw you before .,bully for you .
15432,now that s true !,see ?
15433,who lives ?,see i m new .
15434,see i m new .,won t mother be proud .
15435,where s dawson high school ?,you going there ?
15436,you going there ?,yeah why
15437,yeah why,dig the square wardrobe !
15438,dig the square wardrobe !,yeah . so where s the high school ?
15439,yeah . so where s the high school ?,university and th want to carry my books ?
15440,the kids take me .,oh .
15441,a what ?,goodbye ! see you !
15442,goodbye ! see you !,i m not so bad .
15443,it doesn t matter to them .,you were looking for me weren t you ?
15444,you were looking for me weren t you ?,no i was just maybe
15445,why ?,i m getting that way too .
15446,i m getting that way too .,have you ever gone with anyone who
15447,have you ever gone with anyone who,sure . lots of times .
15448,why did you do that ?,i felt like it .
15449,i felt like it .,your lips are soft when you kiss .
15450,you can t talk underwater !,i bet you hear everything i say !
15451,ever been in a place like this before ?,not exactly . it s certainly huge .
15452,not exactly . it s certainly huge .,how many rooms do you think there are ?
15453,how many rooms do you think there are ?,i don t know .
15454,i don t know .,should we explore ?
15455,hi .,hi .
15456,maybe he s scared of the dark .,are you ?
15457,you don t need to do that .,there s something i should tell you judy .
15458,what ?,you smell like baby powder .
15459,you smell like baby powder .,so do you .
15460,so do you .,i never felt so clean before .
15461,no !,we have to go back !
15462,we have to go back !,no ! i got to find him .
15463,is he your friend ?,yes . my best friend .
15464,yes . my best friend .,what s he like ?
15465,hi plato !,hi .
15466,judy we re ready for you now .,he hates me .
15467,he hates me .,what ?
15468,what ?,he hates me .
15469,you weren t looking for company were you ?,no .
15470,she s being called for .,you said you d call my father .
15471,you said you d call my father .,goodbye judy . take it easy .
15472,we were romantic then too,are you and mom home tonight ?
15473,are you and mom home tonight ?,no . why ?
15474,good evening .,hi .
15475,didn t you forget something ?,what ?
15476,gabriel let him go,read a lot about you nick .
15477,read a lot about you nick .,what are you doing here ? !
15478,what are you doing here ? !,read you re a man of some knowledge .
15479,read you re a man of some knowledge .,gabriel !
15480,gabriel !,a man of some travels .
15481,a man of some travels .,gabriel i love him !
15482,is this him ! ?,don t hurt him . . .
15483,is this nick mason ! ! ? ?,yes ! ! !
15484,he wants the money .,no baby . he wants me .
15485,gotta be ten degrees out there .,radio said negative five .
15486,radio said negative five .,negative five ?
15487,negative five ?,yeah .
15488,yeah .,i don t think it s negative five .
15489,i don t think it s negative five .,radio said .
15490,no no,saw my outfit or something my coat
15491,saw my outfit or something my coat,no hey i like your coat
15492,no hey i like your coat,saw me
15493,do that again .,what .
15494,what .,smile .
15495,no,one more . smile . one more .
15496,one more . smile . one more .,no c mon
15497,i told you nick . remember ?,tell me again .
15498,well wasn t all me y know .,yes it was all you
15499,you need a coat !,ash you ve gotten me enough
15500,you forget where i work ?,beauty and fragrances .
15501,beauty and fragrances .,fifty percent off motherfucker . ho ho ho .
15502,we ll have more fun in detroit .,we could live it up and
15503,no !,nick !
15504,you motherfucker .,nick no
15505,nick no,you sold him out .
15506,you sold him out .,nick
15507,nick i love you,jesus christ !
15508,he ll kill you .,you re not hearing me here
15509,nick please it s me,you told him about nick s letters .
15510,you told him about nick s letters .,no nick no
15511,no nick no,you re in on this .
15512,you re in on this .,i love you !
15513,gabriel !,canada .
15514,they ve never done a robbery ?,they re truck drivers .
15515,get your own room ashley .,nick . . .
15516,nick . . .,get your own room .
15517,that guy knows you ?,yeah uh . mike . that s mike .
15518,don t say my name . . .,i love you nick . . .
15519,they ll have guns .,what ?
15520,i don t know . . .,we ll need one .
15521,he wants to see your map .,i m almost done .
15522,i m almost done .,he says he wants it now .
15523,they all are . football s on .,keep em there for a little while .
15524,where s the fucking cash nick !,yeah . that s love .
15525,you . . . you . . . you,we still gonna spend christmas together ?
15526,i saved your life .,you shouldn t have .
15527,merry christmas rudy .,i m glad it was me .
15528,i m glad it was me .,merry christmas .
15529,what ?,rudy . how d you know my name ?
15530,rudy . how d you know my name ?,what are you talking about ?
15531,but i never said rudy .,you said it a million times !
15532,you said it a million times !,i never told you my name .
15533,no you can t,the hell i can t .
15534,you re not nick mason . . .,i shared his cell !
15535,i shared his cell !,but you were saying you were . . .
15536,but you were saying you were . . .,yes !
15537,yes !,so you could get with my sister .
15538,so you could get with my sister .,yes !
15539,yes !,so you could get down her chimney .
15540,so you could get down her chimney .,yes !
15541,hey . she says she loves you nick .,she says a lot of things .
15542,where s she work ?,what ?
15543,what s her middle name ?,samantha .
15544,samantha .,what d they call her in high school ?
15545,what d they call her in high school ?,bam bam .
15546,bam bam .,what d they call her in college ?
15547,what d they call her in college ?,what college .
15548,what college .,where d she drop her cherry ?
15549,be more specific .,a station wagon in canada .
15550,a station wagon in canada .,what s her greatest fear ?
15551,what s her greatest fear ?,her brother .
15552,her brother .,wrong nick . it s drowning .
15553,wrong nick . it s drowning .,no . it s her brother .
15554,you knew the place,hey .
15555,i don t know .,the hell you don t .
15556,the hell you don t .,five million ?
15557,what ?,i said who the hell made the map ?
15558,i said who the hell made the map ?,i did .
15559,we walked the place for a week .,and i worked there . for a year .
15560,they won t recognize me .,why not .
15561,why not .,trust me . they won t recognize me .
15562,bring back some memories nick ?,more than you know .
15563,rather be back in the mountain ?,might as well be .
15564,you do .,at least gimme video poker .
15565,you got one hour .,i m gonna need some money .
15566,maybe something about a robbery ?,no !
15567,we got five . putting ashley outside .,you need six .
15568,six men means six guns .,no way .
15569,no way .,i m no threat without a gun .
15570,i m no threat without a gun .,no you re not .
15571,you gotta be kidding me .,tis the season convict .
15572,get in the car !,how d you know my name . . .
15573,ash ?,how d you know my name was rudy .
15574,how d you know my name was rudy .,ash ?
15575,ash ?,how d you know my name .
15576,thanks sister . how are ya .,fuckin freezing .
15577,fuckin freezing .,hell yeah . you work here long ?
15578,hell yeah . you work here long ?,five years . since it opened .
15579,having romance problems romeo ?,not with you .
15580,how do we take them out ?,you gotta get someone upstairs .
15581,you gotta get someone upstairs .,how do we do that ?
15582,here s my present to you truck drivers,where the hell s gabriel ?
15583,drop em ! drop drop drop ! ! !,drop the guns ! now !
15584,you knew there were guns in here !,merlin i didn t know
15585,monsters in the gelatin . . .,it s a roach guy
15586,haven t thought about it .,hell you haven t .
15587,ain t there yet .,three days man .
15588,three days man .,not yet .
15589,hot chocolate .,what ?
15590,and a slice of pecan pie right ?,and some pecan pie .
15591,why you gotta say a thing like that .,i m just saying .
15592,i m just talking .,fuck your hot chocolate rudy .
15593,just taste that christmas turkey .,thought you hate your old man .
15594,don t move rudy !,standing right here man !
15595,guard ! guard !,alamo . . .
15596,alamo . . .,guard ! ! !
15597,guard ! ! !,ash . . . ashley . . .
15598,ash . . . ashley . . .,no man ! no no no !
15599,tell ashley . . . i . . .,you tell her !
15600,you tell her !,. . .be with her . . .
15601,no ! ! !,. . .for christmas . . .
15602,. . .for christmas . . .,nick ! ! !
15603,how d you know i d do it .,do what ?
15604,i . . . sorry mister . . .,that was my king !
15605,that was my king !,well . . .sorry . . .
15606,switch seats with me .,what ? no . . .
15607,there is no other table,they ll open one !
15608,watch your mouth man . it s christmas .,i m not nick !
15609,start talkin,who the hell made this map .
15610,alone at last .,now where were we ?
15611,how ya doin toothpick ?,fine now .
15612,you ain t dying he is .,i ll call somebody .
15613,i ll call somebody .,who ?
15614,daddy did ya see that ?,what ?
15615,what ? nobody set anybody up .,the cops were there waitin for us !
15616,the cops were there waitin for us !,bullshit .
15617,you ever seen this motherfucker before ?,who mr . white ?
15618,who mr . white ?,yeah .
15619,did the two of you talk ?,me and mr . white ?
15620,me and mr . white ?,yeah .
15621,yeah .,a little .
15622,a little .,what about ?
15623,what about ?,the brewers .
15624,jesus christ !,you can do some crazy things with it .
15625,i m sorry .,what ? snap out of it !
15626,sure .,take a seat .
15627,who s your parole officer ?,a guy named scagnetti . seymour scagnetti .
15628,a guy named scagnetti . seymour scagnetti .,how is he ?
15629,why am i mr . pink ?,cause you re a faggot alright ?
15630,mr . blue s dead ?,dead as dillinger .
15631,give me my book .,you gonna put it away ?
15632,sorry it s my book now .,blonde shoot this piece of shit will ya ?
15633,he s doin twenty years in susanville .,what for ?
15634,mr . pink .,mr . pink ? why ?
15635,mr . pink ? why ?,he don t tip .
15636,i know .,you do ?
15637,you do ?,your name s freddy something .
15638,follow you where ?,down to my car .
15639,down to my car .,why ?
15640,why ?,it s a surprise .
15641,for what the cops ?,nice guy eddie .
15642,i m okay .,correct .
15643,joe .,bet your sweet ass we are .
15644,yeah it s fuckin great isn t it ?,can you believe the songs they been playin ?
15645,c mon throw in a buck .,uh uh . i don t tip .
15646,uh uh . i don t tip .,whaddaya mean you don t tip ?
15647,whaddaya mean you don t tip ?,i don t believe in it .
15648,i don t believe in it .,you don t believe in tipping ?
15649,dead .,goddamn goddamn ! how did he die ?
15650,want a smoke ?,why not ?
15651,that s not correct .,what s wrong with it ?
15652,a few cops .,no real people ?
15653,no real people ?,uh uh just cops .
15654,uh uh just cops .,could you believe mr . blonde ?
15655,nope .,how can you be so sure ?
15656,how can you be so sure ?,i got the diamonds .
15657,i got the diamonds .,where ?
15658,where ?,i got em all right ?
15659,i got em all right ?,where ? are they out in the car ?
15660,so is he dead or what ?,he ain t dead .
15661,he ain t dead .,so what is it ?
15662,so what is it ?,i think he s just passed out .
15663,we ain t taking him to a hospital .,if we don t he ll die .
15664,is that supposed to be funny ?,we don t think this place is safe .
15665,i told ya he d be pissed .,what are you gonna do about him ?
15666,not these guys .,yeah those guys too .
15667,who shot who ?,nobody . the light was bad .
15668,it doesn t matter who they are .,and one of em is sick .
15669,and this is helen carter .,i m clay phillips . my brother steve .
15670,yes ma am .,as far as sonora ?
15671,as far as sonora ?,just about .
15672,our kind of women ?,you ll have to drive except down hill .
15673,and this is helen carter .,i m clay phillips . my brother steve .
15674,would you mr . phillips ?,go on there s a good boy .
15675,there s a nice boy .,yeah .
15676,are the horses stragglin or aren t they ?,they re stragglin .
15677,they re stragglin .,his letters will keep .
15678,hold on .,we can t stay here !
15679,i ll make the soap myself .,but the rest is right .
15680,but the rest is right .,will she be dark or fair ?
15681,are we leaving ?,it s too light yet .
15682,maybe it s better that way .,you don t mean that clay .
15683,tell me darling .,what ?
15684,what ?,what does a man usually tell a girl ?
15685,all my clothes,that s right worry about your clothes
15686,i won t have you fighting over me .,i m sorry .
15687,it s going to sonora .,fine maybe i ll see you there sometime .
15688,goodbye . thanks for the lift .,goodbye mary .
15689,where you going ?,to the other side of the street .
15690,stretch out under the seat miss .,which ranch ?
15691,which ranch ?,how s that ?
15692,how does she draw ?,a little hot .
15693,in a fight ?,the other fellow wasn t even lookin .
15694,yes .,at the ranch maybe ?
15695,where d they go ?,swimming .
15696,that s right steve .,can i have my gun back ?
15697,finished son ?,there s only two of them now .
15698,i didn t stop to think clay .,you better start .
15699,you know what she asked me ?,i don t care what she asked you .
15700,is that the only reason you came back ?,sure . what other reason would there be ?
15701,sure . what other reason would there be ?,i just wondered . let s go .
15702,how s that ?,kind of sore .
15703,kind of sore .,you ll live .
15704,all right you didn t know .,i can t take her with me .
15705,i can t take her with me .,nobody asked you to .
15706,you re not bein quite fair .,what s there to be fair about ?
15707,all right you didn t know .,i can t take her with me .
15708,i can t take her with me .,nobody asked you to .
15709,you re not bein quite fair .,what s there to be fair about ?
15710,i said i didn t care .,what s botherin you anyway ?
15711,don t act so crazy .,i m sorry . let s go .
15712,i m sorry . let s go .,that s a good girl .
15713,stop it stop it .,darling now i ve got you all upset .
15714,she mustn t don t you let her,there there . don t you upset yourself
15715,what is it ?,just a thing i was workin on .
15716,that sure smells good .,i like it .
15717,what s the matter restless ?,yes people make me restless .
15718,yes people make me restless .,even women ?
15719,even women ?,there aren t any women here .
15720,and you re all alone .,yeah .
15721,suppose i take a look .,go ahead .
15722,goodbye and thanks .,i don t like to see you go .
15723,and we re running out of that .,there s still tomorrow morning .
15724,he certainly could . about a month .,what are you waiting for ? do something .
15725,you re not giving up ?,how many ways can a man say no .
15726,go on . have another try at him .,what s the use .
15727,how do you know who we are ?,everybody knows
15728,everybody knows,who brought you here ?
15729,clay phillips .,where is he ?
15730,where is he ?,up the trail .
15731,how far up the trail ?,i don t know i don t know .
15732,we got to get movin .,what for ?
15733,we got company . female company .,yeah we sure have .
15734,what are you doin,lookin around .
15735,would you like to learn them ?,i sure would .
15736,i sure would .,maybe i could start you out .
15737,you re so nice .,did someone say i wasn t nice ?
15738,good night miss wells .,good night steve .
15739,aren t we stayin ?,no . we re not stayin
15740,what comes after z ?,that s the end of the line .
15741,and that s tough isn t it ?,without someone to teach you it s tough .
15742,unicorn a kind of animal,what do they look like ?
